schema_name,table_name,table_type,rls_enabled,rls_forced,estimated_rows,table_size,index_size,total_size
auth,audit_log_entries,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
auth,custom_oauth_providers,BASE TABLE,no,no,-1,8192 bytes,48 kB,56 kB
auth,flow_state,BASE TABLE,yes,no,-1,16 kB,64 kB,80 kB
auth,identities,BASE TABLE,yes,no,-1,16 kB,64 kB,80 kB
auth,instances,BASE TABLE,yes,no,-1,8192 bytes,8192 bytes,16 kB
auth,mfa_amr_claims,BASE TABLE,yes,no,56,48 kB,32 kB,80 kB
auth,mfa_challenges,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
auth,mfa_factors,BASE TABLE,yes,no,-1,8192 bytes,48 kB,56 kB
auth,oauth_authorizations,BASE TABLE,no,no,-1,8192 bytes,32 kB,40 kB
auth,oauth_client_states,BASE TABLE,no,no,-1,8192 bytes,16 kB,24 kB
auth,oauth_clients,BASE TABLE,no,no,-1,8192 bytes,16 kB,24 kB
auth,oauth_consents,BASE TABLE,no,no,-1,8192 bytes,40 kB,48 kB
auth,one_time_tokens,BASE TABLE,yes,no,-1,16 kB,96 kB,112 kB
auth,refresh_tokens,BASE TABLE,yes,no,70,56 kB,112 kB,168 kB
auth,saml_providers,BASE TABLE,yes,no,-1,8192 bytes,24 kB,32 kB
auth,saml_relay_states,BASE TABLE,yes,no,-1,8192 bytes,32 kB,40 kB
auth,schema_migrations,BASE TABLE,yes,no,76,8192 bytes,16 kB,24 kB
auth,sessions,BASE TABLE,yes,no,56,56 kB,80 kB,136 kB
auth,sso_domains,BASE TABLE,yes,no,-1,8192 bytes,24 kB,32 kB
auth,sso_providers,BASE TABLE,yes,no,-1,8192 bytes,24 kB,32 kB
auth,users,BASE TABLE,yes,no,3,48 kB,208 kB,256 kB
auth,webauthn_challenges,BASE TABLE,no,no,-1,8192 bytes,24 kB,32 kB
auth,webauthn_credentials,BASE TABLE,no,no,-1,8192 bytes,24 kB,32 kB
public,admin_permissions,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
public,admin_profiles,BASE TABLE,yes,no,3,48 kB,48 kB,96 kB
public,admin_role_permissions,BASE TABLE,yes,no,161,40 kB,32 kB,72 kB
public,admin_roles,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
public,admin_user_roles,BASE TABLE,yes,no,-1,8192 bytes,32 kB,40 kB
public,board_members,BASE TABLE,yes,no,5,16 kB,96 kB,112 kB
public,board_roles,BASE TABLE,yes,no,19,16 kB,48 kB,64 kB
public,club_closure_periods,BASE TABLE,yes,no,-1,8192 bytes,24 kB,32 kB
public,club_contacts,BASE TABLE,no,no,-1,16 kB,64 kB,80 kB
public,club_history_images,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
public,club_history_milestones,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
public,club_history_pages,BASE TABLE,yes,no,-1,32 kB,48 kB,80 kB
public,club_settings,BASE TABLE,no,no,-1,16 kB,32 kB,48 kB
public,coach_team_seasons,BASE TABLE,yes,no,4,16 kB,48 kB,64 kB
public,coaches,BASE TABLE,yes,no,5,16 kB,48 kB,64 kB
public,departments,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
public,event_documents,BASE TABLE,yes,no,-1,16 kB,64 kB,80 kB
public,events,BASE TABLE,yes,no,1,16 kB,128 kB,144 kB
public,membership_request_recipients,BASE TABLE,no,no,-1,8192 bytes,24 kB,32 kB
public,membership_requests,BASE TABLE,no,no,-1,16 kB,64 kB,80 kB
public,news,BASE TABLE,yes,no,4,16 kB,48 kB,64 kB
public,news_documents,BASE TABLE,yes,no,-1,16 kB,48 kB,64 kB
public,pages,BASE TABLE,no,no,-1,16 kB,64 kB,80 kB
public,player_team_seasons,BASE TABLE,yes,no,19,48 kB,48 kB,96 kB
public,players,BASE TABLE,no,no,15,48 kB,32 kB,80 kB
public,seasons,BASE TABLE,yes,no,2,48 kB,48 kB,96 kB
public,sponsor_categories,BASE TABLE,yes,no,3,16 kB,48 kB,64 kB
public,sponsors,BASE TABLE,yes,no,-1,16 kB,48 kB,64 kB
public,team_seasons,BASE TABLE,yes,no,4,16 kB,80 kB,96 kB
public,team_templates,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
public,team_training_exceptions,BASE TABLE,yes,no,-1,16 kB,64 kB,80 kB
public,team_training_times,BASE TABLE,yes,no,-1,16 kB,112 kB,128 kB
public,teams,BASE TABLE,yes,no,9,16 kB,32 kB,48 kB
storage,buckets,BASE TABLE,yes,no,-1,16 kB,32 kB,48 kB
storage,buckets_analytics,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
storage,buckets_vectors,BASE TABLE,yes,no,-1,8192 bytes,8192 bytes,16 kB
storage,migrations,BASE TABLE,yes,no,61,8192 bytes,32 kB,40 kB
storage,objects,BASE TABLE,yes,no,31,88 kB,80 kB,168 kB
storage,s3_multipart_uploads,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
storage,s3_multipart_uploads_parts,BASE TABLE,yes,no,-1,8192 bytes,8192 bytes,16 kB
storage,vector_indexes,BASE TABLE,yes,no,-1,8192 bytes,16 kB,24 kB
