table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,default_value,identity,generated,character_maximum_length,numeric_precision,numeric_scale
admin_permissions,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
admin_permissions,2,key,text,text,NO,null,NO,NEVER,null,null,null
admin_permissions,3,name,text,text,NO,null,NO,NEVER,null,null,null
admin_permissions,4,description,text,text,YES,null,NO,NEVER,null,null,null
admin_permissions,5,category,text,text,NO,'general'::text,NO,NEVER,null,null,null
admin_permissions,6,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_permissions,7,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_profiles,1,id,uuid,uuid,NO,null,NO,NEVER,null,null,null
admin_profiles,2,full_name,text,text,NO,null,NO,NEVER,null,null,null
admin_profiles,3,email,text,text,NO,null,NO,NEVER,null,null,null
admin_profiles,4,is_active,boolean,bool,NO,true,NO,NEVER,null,null,null
admin_profiles,5,last_login_at,timestamp with time zone,timestamptz,YES,null,NO,NEVER,null,null,null
admin_profiles,6,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_profiles,7,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_role_permissions,1,role_id,uuid,uuid,NO,null,NO,NEVER,null,null,null
admin_role_permissions,2,permission_id,uuid,uuid,NO,null,NO,NEVER,null,null,null
admin_role_permissions,3,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_roles,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
admin_roles,2,key,text,text,NO,null,NO,NEVER,null,null,null
admin_roles,3,name,text,text,NO,null,NO,NEVER,null,null,null
admin_roles,4,description,text,text,YES,null,NO,NEVER,null,null,null
admin_roles,5,sort_order,integer,int4,NO,0,NO,NEVER,null,32,0
admin_roles,6,is_active,boolean,bool,NO,true,NO,NEVER,null,null,null
admin_roles,7,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_roles,8,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
admin_user_roles,1,user_id,uuid,uuid,NO,null,NO,NEVER,null,null,null
admin_user_roles,2,role_id,uuid,uuid,NO,null,NO,NEVER,null,null,null
admin_user_roles,3,is_primary,boolean,bool,NO,false,NO,NEVER,null,null,null
admin_user_roles,4,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
board_members,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
board_members,2,first_name,text,text,NO,null,NO,NEVER,null,null,null
board_members,3,last_name,text,text,NO,null,NO,NEVER,null,null,null
board_members,4,role_de,text,text,NO,null,NO,NEVER,null,null,null
board_members,5,role_en,text,text,YES,null,NO,NEVER,null,null,null
board_members,6,email,text,text,YES,null,NO,NEVER,null,null,null
board_members,7,phone,text,text,YES,null,NO,NEVER,null,null,null
board_members,8,image_url,text,text,YES,null,NO,NEVER,null,null,null
board_members,9,is_active,boolean,bool,YES,true,NO,NEVER,null,null,null
board_members,10,sort_order,integer,int4,YES,0,NO,NEVER,null,32,0
board_members,11,created_at,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,null,null,null
board_members,12,role_id,uuid,uuid,YES,null,NO,NEVER,null,null,null
board_members,13,admin_profile_id,uuid,uuid,YES,null,NO,NEVER,null,null,null
board_roles,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
board_roles,2,name_de,text,text,NO,null,NO,NEVER,null,null,null
board_roles,3,name_en,text,text,YES,null,NO,NEVER,null,null,null
board_roles,4,slug,text,text,NO,null,NO,NEVER,null,null,null
board_roles,5,is_active,boolean,bool,YES,true,NO,NEVER,null,null,null
board_roles,6,sort_order,integer,int4,YES,0,NO,NEVER,null,32,0
board_roles,7,created_at,timestamp with time zone,timestamptz,YES,now(),NO,NEVER,null,null,null
club_closure_periods,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
club_closure_periods,2,title,text,text,NO,null,NO,NEVER,null,null,null
club_closure_periods,3,reason,text,text,YES,null,NO,NEVER,null,null,null
club_closure_periods,4,starts_on,date,date,NO,null,NO,NEVER,null,null,null
club_closure_periods,5,ends_on,date,date,NO,null,NO,NEVER,null,null,null
club_closure_periods,6,applies_to_all,boolean,bool,NO,true,NO,NEVER,null,null,null
club_closure_periods,7,team_season_id,uuid,uuid,YES,null,NO,NEVER,null,null,null
club_closure_periods,8,is_active,boolean,bool,NO,true,NO,NEVER,null,null,null
club_closure_periods,9,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
club_closure_periods,10,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,null,null,null
club_contacts,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,null,null,null
club_contacts,2,category,text,text,NO,'allgemein'::text,NO,NEVER,null,null,null
club_contacts,3,role_key,text,text,NO,null,NO,NEVER,null,null,null
club_contacts,4,role_de,text,text,NO,null,NO,NEVER,null,null,null
club_contacts,5,role_en,text,text,YES,null,NO,NEVER,null,null,null
club_contacts,6,contact_name,text,text,NO,null,NO,NEVER,null,null,null
club_contacts,7,email,text,text,YES,null,NO,NEVER,null,null,null
club_contacts,8,phone,text,text,YES,null,NO,NEVER,null,null,null
club_contacts,9,image_url,text,text,YES,null,NO,NEVER,null,null,null
club_contacts,10,is_public,boolean,bool,NO,true,NO,NEVER,null,null,null
