schema_name,table_name,constraint_name,constraint_type,constraint_definition
public,admin_permissions,admin_permissions_key_key,UNIQUE,UNIQUE (key)
public,admin_permissions,admin_permissions_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,admin_profiles,admin_profiles_email_key,UNIQUE,UNIQUE (email)
public,admin_profiles,admin_profiles_id_fkey,FOREIGN KEY,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
public,admin_profiles,admin_profiles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,admin_role_permissions,admin_role_permissions_permission_id_fkey,FOREIGN KEY,FOREIGN KEY (permission_id) REFERENCES admin_permissions(id) ON DELETE CASCADE
public,admin_role_permissions,admin_role_permissions_pkey,PRIMARY KEY,"PRIMARY KEY (role_id, permission_id)"
public,admin_role_permissions,admin_role_permissions_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES admin_roles(id) ON DELETE CASCADE
public,admin_roles,admin_roles_key_key,UNIQUE,UNIQUE (key)
public,admin_roles,admin_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,admin_user_roles,admin_user_roles_pkey,PRIMARY KEY,"PRIMARY KEY (user_id, role_id)"
public,admin_user_roles,admin_user_roles_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES admin_roles(id) ON DELETE CASCADE
public,admin_user_roles,admin_user_roles_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,board_members,board_members_admin_profile_id_fkey,FOREIGN KEY,FOREIGN KEY (admin_profile_id) REFERENCES admin_profiles(id) ON DELETE SET NULL
public,board_members,board_members_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,board_members,board_members_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES board_roles(id) ON DELETE SET NULL
public,board_roles,board_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,board_roles,board_roles_slug_key,UNIQUE,UNIQUE (slug)
public,club_closure_periods,club_closure_periods_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,club_closure_periods,club_closure_periods_range_check,CHECK,CHECK (ends_on >= starts_on)
public,club_closure_periods,club_closure_periods_scope_check,CHECK,CHECK (applies_to_all = true AND team_season_id IS NULL OR applies_to_all = false)
