schema_name,table_name,index_name,is_unique,is_primary,index_definition,index_columns,partial_index_condition
public,admin_permissions,admin_permissions_key_key,yes,no,CREATE UNIQUE INDEX admin_permissions_key_key ON public.admin_permissions USING btree (key),"[""CREATE UNIQUE INDEX admin_permissions_key_key ON admin_permissions USING btree (key)""]",null
public,admin_permissions,admin_permissions_pkey,yes,yes,CREATE UNIQUE INDEX admin_permissions_pkey ON public.admin_permissions USING btree (id),"[""CREATE UNIQUE INDEX admin_permissions_pkey ON admin_permissions USING btree (id)""]",null
public,admin_profiles,admin_profiles_email_key,yes,no,CREATE UNIQUE INDEX admin_profiles_email_key ON public.admin_profiles USING btree (email),"[""CREATE UNIQUE INDEX admin_profiles_email_key ON admin_profiles USING btree (email)""]",null
public,admin_profiles,admin_profiles_pkey,yes,yes,CREATE UNIQUE INDEX admin_profiles_pkey ON public.admin_profiles USING btree (id),"[""CREATE UNIQUE INDEX admin_profiles_pkey ON admin_profiles USING btree (id)""]",null
public,admin_profiles,idx_admin_profiles_email,no,no,CREATE INDEX idx_admin_profiles_email ON public.admin_profiles USING btree (email),"[""CREATE INDEX idx_admin_profiles_email ON admin_profiles USING btree (email)""]",null
public,admin_role_permissions,admin_role_permissions_pkey,yes,yes,"CREATE UNIQUE INDEX admin_role_permissions_pkey ON public.admin_role_permissions USING btree (role_id, permission_id)","[""CREATE UNIQUE INDEX admin_role_permissions_pkey ON admin_role_permissions USING btree (role_id, permission_id)"",""role_id""]",null
public,admin_role_permissions,idx_admin_role_permissions_role_id,no,no,CREATE INDEX idx_admin_role_permissions_role_id ON public.admin_role_permissions USING btree (role_id),"[""CREATE INDEX idx_admin_role_permissions_role_id ON admin_role_permissions USING btree (role_id)""]",null
public,admin_roles,admin_roles_key_key,yes,no,CREATE UNIQUE INDEX admin_roles_key_key ON public.admin_roles USING btree (key),"[""CREATE UNIQUE INDEX admin_roles_key_key ON admin_roles USING btree (key)""]",null
public,admin_roles,admin_roles_pkey,yes,yes,CREATE UNIQUE INDEX admin_roles_pkey ON public.admin_roles USING btree (id),"[""CREATE UNIQUE INDEX admin_roles_pkey ON admin_roles USING btree (id)""]",null
public,admin_user_roles,admin_user_roles_pkey,yes,yes,"CREATE UNIQUE INDEX admin_user_roles_pkey ON public.admin_user_roles USING btree (user_id, role_id)","[""CREATE UNIQUE INDEX admin_user_roles_pkey ON admin_user_roles USING btree (user_id, role_id)"",""user_id""]",null
public,admin_user_roles,idx_admin_user_roles_user_id,no,no,CREATE INDEX idx_admin_user_roles_user_id ON public.admin_user_roles USING btree (user_id),"[""CREATE INDEX idx_admin_user_roles_user_id ON admin_user_roles USING btree (user_id)""]",null
public,board_members,board_members_pkey,yes,yes,CREATE UNIQUE INDEX board_members_pkey ON public.board_members USING btree (id),"[""CREATE UNIQUE INDEX board_members_pkey ON board_members USING btree (id)""]",null
public,board_members,idx_board_members_active,no,no,CREATE INDEX idx_board_members_active ON public.board_members USING btree (is_active),"[""CREATE INDEX idx_board_members_active ON board_members USING btree (is_active)""]",null
public,board_members,idx_board_members_admin_profile_id,no,no,CREATE INDEX idx_board_members_admin_profile_id ON public.board_members USING btree (admin_profile_id),"[""CREATE INDEX idx_board_members_admin_profile_id ON board_members USING btree (admin_profile_id)""]",null
public,board_members,idx_board_members_role_id,no,no,CREATE INDEX idx_board_members_role_id ON public.board_members USING btree (role_id),"[""CREATE INDEX idx_board_members_role_id ON board_members USING btree (role_id)""]",null
public,board_members,idx_board_members_sort,no,no,CREATE INDEX idx_board_members_sort ON public.board_members USING btree (sort_order),"[""CREATE INDEX idx_board_members_sort ON board_members USING btree (sort_order)""]",null
public,board_members,uq_board_members_admin_profile_id,yes,no,CREATE UNIQUE INDEX uq_board_members_admin_profile_id ON public.board_members USING btree (admin_profile_id) WHERE (admin_profile_id IS NOT NULL),"[""CREATE UNIQUE INDEX uq_board_members_admin_profile_id ON board_members USING btree (admin_profile_id) WHERE admin_profile_id IS NOT NULL""]",(admin_profile_id IS NOT NULL)
public,board_roles,board_roles_pkey,yes,yes,CREATE UNIQUE INDEX board_roles_pkey ON public.board_roles USING btree (id),"[""CREATE UNIQUE INDEX board_roles_pkey ON board_roles USING btree (id)""]",null
public,board_roles,board_roles_slug_key,yes,no,CREATE UNIQUE INDEX board_roles_slug_key ON public.board_roles USING btree (slug),"[""CREATE UNIQUE INDEX board_roles_slug_key ON board_roles USING btree (slug)""]",null
public,board_roles,idx_board_roles_active_sort,no,no,"CREATE INDEX idx_board_roles_active_sort ON public.board_roles USING btree (is_active, sort_order)","[""CREATE INDEX idx_board_roles_active_sort ON board_roles USING btree (is_active, sort_order)"",""is_active""]",null
public,club_closure_periods,club_closure_periods_pkey,yes,yes,CREATE UNIQUE INDEX club_closure_periods_pkey ON public.club_closure_periods USING btree (id),"[""CREATE UNIQUE INDEX club_closure_periods_pkey ON club_closure_periods USING btree (id)""]",null
public,club_closure_periods,idx_ccp_active_dates,no,no,"CREATE INDEX idx_ccp_active_dates ON public.club_closure_periods USING btree (is_active, starts_on, ends_on)","[""CREATE INDEX idx_ccp_active_dates ON club_closure_periods USING btree (is_active, starts_on, ends_on)"",""is_active"",""starts_on""]",null
public,club_closure_periods,idx_ccp_team_season,no,no,CREATE INDEX idx_ccp_team_season ON public.club_closure_periods USING btree (team_season_id),"[""CREATE INDEX idx_ccp_team_season ON club_closure_periods USING btree (team_season_id)""]",null
public,club_contacts,club_contacts_pkey,yes,yes,CREATE UNIQUE INDEX club_contacts_pkey ON public.club_contacts USING btree (id),"[""CREATE UNIQUE INDEX club_contacts_pkey ON club_contacts USING btree (id)""]",null
public,club_contacts,idx_club_contacts_category_sort,no,no,"CREATE INDEX idx_club_contacts_category_sort ON public.club_contacts USING btree (category, sort_order)","[""CREATE INDEX idx_club_contacts_category_sort ON club_contacts USING btree (category, sort_order)"",""category""]",null
public,club_contacts,idx_club_contacts_public_active_sort,no,no,"CREATE INDEX idx_club_contacts_public_active_sort ON public.club_contacts USING btree (is_public, is_active, sort_order)","[""CREATE INDEX idx_club_contacts_public_active_sort ON club_contacts USING btree (is_public, is_active, sort_order)"",""is_public"",""is_active""]",null
public,club_contacts,idx_club_contacts_role_key_unique,yes,no,CREATE UNIQUE INDEX idx_club_contacts_role_key_unique ON public.club_contacts USING btree (role_key),"[""CREATE UNIQUE INDEX idx_club_contacts_role_key_unique ON club_contacts USING btree (role_key)""]",null
public,club_history_images,club_history_images_pkey,yes,yes,CREATE UNIQUE INDEX club_history_images_pkey ON public.club_history_images USING btree (id),"[""CREATE UNIQUE INDEX club_history_images_pkey ON club_history_images USING btree (id)""]",null
public,club_history_images,idx_club_history_images_page,no,no,"CREATE INDEX idx_club_history_images_page ON public.club_history_images USING btree (club_history_page_id, is_active, sort_order)","[""CREATE INDEX idx_club_history_images_page ON club_history_images USING btree (club_history_page_id, is_active, sort_order)"",""club_history_page_id"",""is_active""]",null
public,club_history_milestones,club_history_milestones_pkey,yes,yes,CREATE UNIQUE INDEX club_history_milestones_pkey ON public.club_history_milestones USING btree (id),"[""CREATE UNIQUE INDEX club_history_milestones_pkey ON club_history_milestones USING btree (id)""]",null
