schema_name,table_name,trigger_name,timing,events,enabled_state,trigger_definition,executed_function
public,club_closure_periods,trg_ccp_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_ccp_set_updated_at BEFORE UPDATE ON club_closure_periods FOR EACH ROW EXECUTE FUNCTION tg_set_updated_at_team_training_schedules(),tg_set_updated_at_team_training_schedules
public,club_contacts,trg_club_contacts_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_club_contacts_set_updated_at BEFORE UPDATE ON club_contacts FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,club_history_images,trg_set_updated_at_club_history_images,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_set_updated_at_club_history_images BEFORE UPDATE ON club_history_images FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,club_history_milestones,trg_set_updated_at_club_history_milestones,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_set_updated_at_club_history_milestones BEFORE UPDATE ON club_history_milestones FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,club_history_pages,trg_set_updated_at_club_history_pages,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_set_updated_at_club_history_pages BEFORE UPDATE ON club_history_pages FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,club_settings,trg_club_settings_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_club_settings_set_updated_at BEFORE UPDATE ON club_settings FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,events,trg_events_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_events_set_updated_at BEFORE UPDATE ON events FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,membership_request_recipients,trg_membership_request_recipients_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_membership_request_recipients_set_updated_at BEFORE UPDATE ON membership_request_recipients FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,pages,trg_pages_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_pages_set_updated_at BEFORE UPDATE ON pages FOR EACH ROW EXECUTE FUNCTION set_updated_at(),set_updated_at
public,team_training_exceptions,trg_tte_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_tte_set_updated_at BEFORE UPDATE ON team_training_exceptions FOR EACH ROW EXECUTE FUNCTION tg_set_updated_at_team_training_schedules(),tg_set_updated_at_team_training_schedules
public,team_training_times,trg_ttt_set_updated_at,BEFORE,UPDATE,ENABLED,CREATE TRIGGER trg_ttt_set_updated_at BEFORE UPDATE ON team_training_times FOR EACH ROW EXECUTE FUNCTION tg_set_updated_at_team_training_schedules(),tg_set_updated_at_team_training_schedules
