schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check_expression
public,admin_permissions,admin_permissions_select_authenticated,PERMISSIVE,{authenticated},SELECT,true,null
public,admin_profiles,admin_profiles_delete_superadmin,PERMISSIVE,{authenticated},DELETE,is_superadmin_actor(),null
public,admin_profiles,admin_profiles_insert_superadmin,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM (admin_user_roles aur
     JOIN admin_roles ar ON ((ar.id = aur.role_id)))
  WHERE ((aur.user_id = auth.uid()) AND (ar.key = 'superadmin'::text))))"
public,admin_profiles,admin_profiles_select_authenticated,PERMISSIVE,{authenticated},SELECT,true,null
public,admin_profiles,admin_profiles_update_own_authenticated,PERMISSIVE,{authenticated},UPDATE,(id = auth.uid()),(id = auth.uid())
public,admin_profiles,admin_profiles_update_superadmin,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM (admin_user_roles aur
     JOIN admin_roles ar ON ((ar.id = aur.role_id)))
  WHERE ((aur.user_id = auth.uid()) AND (ar.key = 'superadmin'::text))))","(EXISTS ( SELECT 1
   FROM (admin_user_roles aur
     JOIN admin_roles ar ON ((ar.id = aur.role_id)))
  WHERE ((aur.user_id = auth.uid()) AND (ar.key = 'superadmin'::text))))"
public,admin_role_permissions,admin_role_permissions_select_authenticated,PERMISSIVE,{authenticated},SELECT,true,null
public,admin_roles,admin_roles_select_authenticated,PERMISSIVE,{authenticated},SELECT,true,null
public,admin_user_roles,admin_user_roles_delete_superadmin,PERMISSIVE,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM (admin_user_roles aur
     JOIN admin_roles ar ON ((ar.id = aur.role_id)))
  WHERE ((aur.user_id = auth.uid()) AND (ar.key = 'superadmin'::text))))",null
public,admin_user_roles,admin_user_roles_insert_superadmin,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM (admin_user_roles aur
     JOIN admin_roles ar ON ((ar.id = aur.role_id)))
  WHERE ((aur.user_id = auth.uid()) AND (ar.key = 'superadmin'::text))))"
public,admin_user_roles,admin_user_roles_select_authenticated,PERMISSIVE,{authenticated},SELECT,true,null
