schema_name,table_name,rls_enabled,rls_forced,policy_count
public,admin_permissions,yes,no,1
public,admin_profiles,yes,no,5
public,admin_role_permissions,yes,no,1
public,admin_roles,yes,no,1
public,admin_user_roles,yes,no,4
public,board_members,yes,no,4
public,board_roles,yes,no,1
public,club_closure_periods,yes,no,4
public,club_contacts,no,no,4
public,club_history_images,yes,no,2
public,club_history_milestones,yes,no,2
public,club_history_pages,yes,no,2
public,club_settings,no,no,4
public,coach_team_seasons,yes,no,2
public,coaches,yes,no,5
public,departments,yes,no,1
public,event_documents,yes,no,4
public,events,yes,no,4
public,membership_request_recipients,no,no,4
public,membership_requests,no,no,4
public,news,yes,no,4
public,news_documents,yes,no,7
public,pages,no,no,4
public,player_team_seasons,yes,no,2
public,players,no,no,1
public,seasons,yes,no,2
public,sponsor_categories,yes,no,1
public,sponsors,yes,no,4
public,team_seasons,yes,no,2
public,team_templates,yes,no,1
public,team_training_exceptions,yes,no,4
public,team_training_times,yes,no,4
public,teams,yes,no,4
storage,buckets,yes,no,0
storage,buckets_analytics,yes,no,0
storage,buckets_vectors,yes,no,0
storage,migrations,yes,no,0
storage,objects,yes,no,13
storage,s3_multipart_uploads,yes,no,0
storage,s3_multipart_uploads_parts,yes,no,0
storage,vector_indexes,yes,no,0
