schema_name,table_name,column_name,runtime_status,read_usage,write_usage,filter_usage,relation_usage,legacy_fallback,code_references,confidence,notes
public,admin_permissions,id,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,key,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,name,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,description,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,category,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_permissions,updated_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/app/admin/permissions/page.js,High,
public,admin_profiles,id,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,full_name,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,email,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,is_active,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,last_login_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_profiles,updated_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminProfiles.repository.js; src/lib/admin-auth/adminProfileLookup.js; src/components/admin/profile/services/profile.service.js,High,
public,admin_role_permissions,role_id,ACTIVE_READ_WRITE,yes,yes,yes,yes,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js,High,
public,admin_role_permissions,permission_id,ACTIVE_READ_WRITE,yes,yes,yes,yes,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js,High,
public,admin_role_permissions,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminPermissions.repository.js; src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js,High,
public,admin_roles,id,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,key,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,name,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,description,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,sort_order,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,is_active,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_roles,updated_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/adminRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/app/admin/roles/page.js,High,
public,admin_user_roles,user_id,ACTIVE_READ_WRITE,yes,yes,yes,yes,no,src/lib/admin-auth/userRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/proxy.js,High,
public,admin_user_roles,role_id,ACTIVE_READ_WRITE,yes,yes,yes,yes,no,src/lib/admin-auth/userRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/proxy.js,High,
public,admin_user_roles,is_primary,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/userRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/proxy.js,High,
public,admin_user_roles,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/lib/admin-auth/userRoles.repository.js; src/lib/admin-auth/adminActionPermissions.js; src/components/admin/users/services/usersActionWriteHelpers.js; src/proxy.js,High,
public,board_members,id,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,first_name,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,last_name,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,role_de,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,role_en,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,email,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,phone,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,image_url,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,is_active,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,sort_order,ACTIVE_READ_WRITE,yes,yes,yes,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,created_at,ACTIVE_READ_WRITE,yes,yes,no,no,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,role_id,ACTIVE_READ_WRITE,yes,yes,yes,yes,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_members,admin_profile_id,ACTIVE_READ_WRITE,yes,yes,partial,yes,no,src/components/admin/board/services/board.service.js; src/app/admin/department/board/actions.js; src/app/(website)/fussball/abteilung/vorstand/page.js; src/lib/admin-auth/profileCardLinks.repository.js; src/components/admin/users/services/users.service.js,High,
public,board_roles,id,ACTIVE_READ_ONLY,yes,no,yes,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,name_de,ACTIVE_READ_ONLY,yes,no,no,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,name_en,ACTIVE_READ_ONLY,yes,no,no,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,slug,ACTIVE_READ_ONLY,yes,no,yes,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,is_active,ACTIVE_READ_ONLY,yes,no,yes,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,sort_order,ACTIVE_READ_ONLY,yes,no,yes,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,board_roles,created_at,ACTIVE_READ_ONLY,yes,no,no,no,no,src/app/(website)/fussball/abteilung/vorstand/page.js; src/app/admin/settings/page.js,Medium,
public,club_closure_periods,id,ACTIVE_READ_ONLY,yes,no,yes,no,no,src/lib/events/eventLoader.js,High,
public,club_closure_periods,title,ACTIVE_READ_ONLY,yes,no,no,no,no,src/lib/events/eventLoader.js,High,
public,club_closure_periods,reason,ACTIVE_READ_ONLY,yes,no,no,no,no,src/lib/events/eventLoader.js,High,
public,club_closure_periods,starts_on,ACTIVE_READ_ONLY,yes,no,no,no,no,src/lib/events/eventLoader.js,High,
