current_table,current_column,target_table,target_column,decision,canonical_source,backfill_source,compatibility_required,migration_order,risk,notes
admin_permissions,id,admin_permissions,id,KEEP,admin_permissions.id,admin_permissions.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,key,admin_permissions,key,KEEP,admin_permissions.key,admin_permissions.key,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,name,admin_permissions,name,KEEP,admin_permissions.name,admin_permissions.name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,description,admin_permissions,description,KEEP,admin_permissions.description,admin_permissions.description,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,category,admin_permissions,category,KEEP,admin_permissions.category,admin_permissions.category,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,created_at,admin_permissions,created_at,KEEP,admin_permissions.created_at,admin_permissions.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_permissions,updated_at,admin_permissions,updated_at,KEEP,admin_permissions.updated_at,admin_permissions.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,id,admin_profiles,id,KEEP,admin_profiles.id,admin_profiles.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,full_name,admin_profiles,full_name,KEEP,admin_profiles.full_name,admin_profiles.full_name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,email,admin_profiles,email,KEEP,admin_profiles.email,admin_profiles.email,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,is_active,admin_profiles,is_active,KEEP,admin_profiles.is_active,admin_profiles.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,last_login_at,admin_profiles,last_login_at,KEEP,admin_profiles.last_login_at,admin_profiles.last_login_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,created_at,admin_profiles,created_at,KEEP,admin_profiles.created_at,admin_profiles.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_profiles,updated_at,admin_profiles,updated_at,KEEP,admin_profiles.updated_at,admin_profiles.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
