"file_path","usage","read_or_write","runtime_area","replacement","action","remaining_reason","risk","status","notes"
"src/app/admin/players/page.js","Admin player list team display and scope mapping","READ","admin/players-list","player DTO assignments from player_team_seasons -> team_seasons -> teams","REPLACED_SEASONAL","","MEDIUM","DONE","players.team_id removed from select and no longer used for scope or cards"
"src/components/admin/players/list/playerList.helpers.js","Team filter, team options, team-name search, position filter","READ","admin/players-list","assignment.teamId plus assignment team names","REPLACED_SEASONAL","","MEDIUM","DONE","multiple active assignments remain visible in filter options"
"src/components/admin/persons/personTeamRepository.js","Player scope/team resolver","READ","admin/shared-scope","seasonal player read models","REPLACED_SEASONAL","","HIGH","DONE","player resolver no longer rehydrates team ids from players.team_id"
"src/components/admin/persons/serverPersonScope.js","Default player scope lookup","READ","admin/shared-scope","seasonal personTeamRepository lookup","REPLACED_SEASONAL","","HIGH","DONE","includeLegacyFallback defaults to false for players"
"src/components/admin/topbar/adminSearch.service.js","Admin player search team subtitle and team-name matching","READ","admin/search","batch seasonal player DTOs","REPLACED_SEASONAL","","MEDIUM","DONE","no player legacy team lookup remains in search"
"src/components/admin/teams/services/teamDelete.core.mjs","Team delete/archive player dependency count","READ","admin/team-delete","player_team_seasons keyed by team_season_id","REPLACED_SEASONAL","","HIGH","DONE","unique players and historical relations are counted via relation table"
"src/app/admin/teams/new/page.js","Available players for team create","READ","admin/team-create","seasonal availability from player_team_seasons","REPLACED_SEASONAL","","MEDIUM","DONE","player candidate loading moved out of legacy team_id filter"
"src/app/admin/teams/edit/[id]/page.js","Available players for team edit","READ","admin/team-edit","seasonal availability plus own-team historical visibility","REPLACED_SEASONAL","","MEDIUM","DONE","players.team_id filter removed from page query"
"src/components/admin/teams/teamEditPlayer.repository.js","Shared seasonal player candidate loader for team forms","READ","admin/team-form-helper","current-season player_team_seasons and team_seasons","REPLACED_SEASONAL","","MEDIUM","DONE","new helper centralizes player candidate loading without legacy reads"
"src/app/(website)/fussball/[slug]/page.js","Public team roster fallback","READ","public/team-page","player_team_seasons for displayed team_season","REMOVED","","HIGH","DONE","legacy fallback query against players.team_id removed"
"src/app/(website)/fussball/[slug]/spieler/[playerId]/page.js","Public player team/profile relation","READ","public/player-profile","seasonal player read model","REPLACED_SEASONAL","","HIGH","DONE","slug validation and displayed team metadata now come from current assignments"
"src/components/admin/utils/entity.js","Generic entity team fallback","READ","admin/shared-ui","primaryAssignment and teams relation first, optional legacy fallback only","CENTRALIZED_FALLBACK","shared helper still supports coach-side generic fallback","LOW","PARTIAL","PlayerCard now disables the legacy team_id fallback explicitly"
"src/components/admin/persons/playerSeasonalReadModelRepository.js","Central legacy team snapshot query","READ","admin/player-form-fallback","same repository with includeLegacyFallback false by default in runtime readers","CENTRALIZED_FALLBACK","still needed for controlled form/write compatibility","MEDIUM","FALLBACK_ONLY","reads players.team_id only when includeLegacyFallback true is requested"
"src/components/admin/persons/seasonalReadModelCore.mjs","Legacy fallback state on player read model","READ","admin/player-form-fallback","seasonal assignments only once fallback is removed","KEPT_TEMPORARY","still required to surface legacyFallbackUsed and legacyTeamId to the form","LOW","FALLBACK_ONLY","not a direct query, but still carries the legacy fallback state"
"src/app/admin/players/edit/[id]/page.js","Player edit form compatibility read","READ","admin/player-edit-form","seasonal read model without fallback after final cleanup","KEPT_TEMPORARY","form still uses fallback for best-effort preselection and warning message","MEDIUM","FALLBACK_ONLY","explicit includeLegacyFallback true"
"src/components/admin/players/services/playerWrite.service.js","Write-path legacy snapshot compatibility read","WRITE","admin/player-write","seasonal-only write rollback strategy","KEPT_TEMPORARY","existing edit/write rollback path still reads legacyTeamId for compatibility","HIGH","WRITE_ONLY","explicit includeLegacyFallback true and still reads previousPlayer.team_id"
"src/components/admin/persons/personTeamLegacyRepository.js","Old player legacy team resolver","READ","admin/legacy-helper","remove player export once no fallback remains","KEPT_TEMPORARY","no active player consumer remains after B13.18, but code still exists","LOW","FALLBACK_ONLY","remove-ready after controlled fallback cleanup"
