table_name,column_name,data_type,nullable,default_value,foreign_key,purpose,source_of_truth,required,status,notes
player_contributions,id,uuid,no,gen_random_uuid(),,Primarschluessel,row_identity,yes,CHANGE_FROM_B12,Aus B12 uebernommen aber neue Tabelle
player_contributions,player_id,uuid,no,,players.id,Eindeutiger Spielerbezug,players,yes,CHANGE_FROM_B12,player_id bleibt Pflicht
player_contributions,season_id,uuid,no,,seasons.id,Beitragszeitraum,seasons,yes,CHANGE_FROM_B12,Ersetzt B12 season_key
player_contributions,team_season_id,uuid,yes,,team_seasons.id,Optionaler historischer Team-Snapshot,team_seasons,yes,NEW,Snapshot nur zur Historie
player_contributions,contribution_type,text,no,,,"Kontrollierter Beitragstyp",application_catalog,yes,CHANGE_FROM_B12,Ersetzt freies contribution_key als Hauptsteuerung
player_contributions,title,text,yes,,,"Lesbare Kurzbezeichnung",editorial_label,no,KEEP_FROM_B12,Optional fuer manuelle Zusatzpositionen
player_contributions,amount_due,numeric(10,2),no,0,,"Urspruenglicher Sollbetrag",player_contributions,yes,KEEP_FROM_B12,Muss >= 0 sein
player_contributions,amount_paid,numeric(10,2),no,0,,"Cache des gebuchten Zahlbetrags",player_contribution_payments,yes,KEEP_FROM_B12,Nur serverseitig synchronisieren
player_contributions,amount_waived,numeric(10,2),no,0,,"Erlassener Betrag",player_contributions,yes,NEW,Erlaubt saubere Befreiungslogik
player_contributions,amount_outstanding,numeric(10,2) generated,yes,derived,,"Offener Betrag",derived_from_due_paid_waived,yes,CHANGE_FROM_B12,Status canceled/exempt soll 0 ergeben
player_contributions,status,text,no,open,,"Fachstatus der Forderung",player_contributions,yes,KEEP_FROM_B12,open partially_paid paid deferred exempt canceled
player_contributions,due_date,date,yes,,,"Faelligkeitsdatum",player_contributions,yes,KEEP_FROM_B12,Fuer offene regulaere Forderungen empfohlen
player_contributions,paid_at,timestamptz,yes,,,"Zeitpunkt der Vollbezahlung",derived_from_payments,yes,KEEP_FROM_B12,Nur wenn Status paid
