role_key,permission_key,granted,reason,scope,sensitive_data,status,notes
superadmin,contributions.view,yes,Globaler Vollzugriff,global,yes,NEW,Sieht alle Finanzdaten
superadmin,contributions.create,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.edit,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.record_payment,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.cancel_payment,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.defer,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.exempt,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.cancel,yes,Globaler Vollzugriff,global,yes,NEW,
superadmin,contributions.export,yes,Globaler Vollzugriff,global,yes,NEW,
vorstand,contributions.view,yes,Lesender Vorstandszugriff,global_read_only,yes,NEW,Standardempfehlung
vorstand,contributions.create,no,Operative Finanzpflege nicht fuer Vorstand,none,yes,NEW,
vorstand,contributions.edit,no,Operative Finanzpflege nicht fuer Vorstand,none,yes,NEW,
vorstand,contributions.record_payment,no,Zahlungsbuchungen nur Kassierer oder Superadmin,none,yes,NEW,
vorstand,contributions.cancel_payment,no,Zahlungsstorno nur Kassierer oder Superadmin,none,yes,NEW,
vorstand,contributions.defer,no,Stundung nur Kassierer oder Superadmin,none,yes,NEW,
vorstand,contributions.exempt,no,Befreiung nur Kassierer oder Superadmin,none,yes,NEW,
vorstand,contributions.cancel,no,Beitragsstorno nur Kassierer oder Superadmin,none,yes,NEW,
vorstand,contributions.export,yes,Berichtswesen und Kontrolle,global_read_only,yes,NEW,
kassierer,contributions.view,yes,Fachrolle Kassenwart,global,yes,NEW,Technischer Rollen-Key ist kassierer
kassierer,contributions.create,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.edit,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.record_payment,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.cancel_payment,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.defer,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.exempt,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.cancel,yes,Fachrolle Kassenwart,global,yes,NEW,
kassierer,contributions.export,yes,Fachrolle Kassenwart,global,yes,NEW,
jugendleiter,contributions.view,no,Sensible Finanzdaten ausserhalb des Jugendscopes,none,yes,NEW,Kein youth_all fuer Finanzen
jugendleiter,contributions.export,no,Sensible Finanzdaten ausserhalb des Jugendscopes,none,yes,NEW,
trainer,contributions.view,no,Keine Team-Scope-Vererbung fuer Finanzen,none,yes,NEW,
trainer,contributions.export,no,Keine Team-Scope-Vererbung fuer Finanzen,none,yes,NEW,
betreuer,contributions.view,no,Keine Finanzsicht fuer Betreuer,none,yes,NEW,
betreuer,contributions.export,no,Keine Finanzsicht fuer Betreuer,none,yes,NEW,
gast,contributions.view,no,Keine Finanzsicht fuer Gastrollen,none,yes,NEW,
gast,contributions.export,no,Keine Finanzsicht fuer Gastrollen,none,yes,NEW,
