feature,old_behavior,new_behavior,route_or_component,permission,desktop,tablet,mobile,test_status,status,notes
quick_filters,status_chip_toolbar,removed_in_favor_of_filter_panel,src/components/admin/contributions/components/ContributionSummaryBar.js,unchanged,DONE,DONE,DONE,PARTIAL,DONE,"Quick-filter helpers removed"
overview_money_bar,summary_with_status_and_money,money_bar_only,src/components/admin/contributions/components/ContributionSummaryBar.js,unchanged,DONE,DONE,DONE,DONE,DONE,"Still shows Soll, Gezahlt, Erlassen, Offen"
overview_table,six_plus_context_columns,four_selection_columns,src/components/admin/contributions/components/ContributionsTable.js,contributions.view,DONE,DONE,DEFERRED,DONE,DONE,"Desktop table now shows only player, status, outstanding, overview"
overview_mobile_card,player_status_outstanding_plus_extra_context,player_status_outstanding_only,src/components/admin/contributions/components/ContributionsTable.js,contributions.view,DEFERRED,DONE,DONE,PARTIAL,DONE,"No season, team or due date on mobile"
detail_header,generic_detail_hero,compact_work_header,src/components/admin/contributions/components/ContributionDetailHeader.js,contributions.view,DONE,DONE,DONE,PARTIAL,DONE,"Primary actions moved into header"
detail_money_bar,separate_amount_cards,shared_compact_money_bar,src/components/admin/contributions/components/ContributionDetailAmounts.js,contributions.view,DONE,DONE,DONE,DONE,DONE,"Uses same money-bar language as overview"
detail_info,many_field_cards,compact_definition_list,src/components/admin/contributions/components/ContributionDetailInfoPanel.js,contributions.view,DONE,DONE,DONE,DONE,DONE,"Internal note still permission-gated"
payment_history,card_stack_only,desktop_table_plus_mobile_cards,src/components/admin/contributions/components/ContributionPaymentsList.js,contributions.cancel_payment,DONE,DONE,DONE,PARTIAL,DONE,"Booked payments remain cancelable"
special_status,always_visible_panel,only_relevant_sections,src/components/admin/contributions/components/ContributionDetailSpecialStatusPanel.js,contributions.view,DONE,DONE,DONE,DONE,DONE,"No empty special-status area"
detail_actions,all_actions_in_separate_panel,primary_in_header_secondary_below,src/components/admin/contributions/components/ContributionDetailActions.js,permission_key_driven,DONE,DONE,DONE,PARTIAL,DONE,"Read-only behavior preserved for Vorstand"
