"surface","role","scope","visible_fields","hidden_fields","detail_link","mutation_allowed","data_source","test_status","status","notes"
"players overview","superadmin","global","player,status,contribution status,outstanding","payment history,internal notes,reasons","player detail plus contribution detail","no","players + player_team_seasons + player_contributions","targeted helper tests","DONE","Full contribution detail link only when contributionId exists"
"players overview","vorstand","global read-only","player,status,contribution status,outstanding","payment history,internal notes,reasons","player detail plus contribution detail","no","players + player_team_seasons + player_contributions","targeted helper tests","DONE","Read-only behavior preserved"
"players overview","jugendleiter","youth_all","player,status,contribution status,outstanding","payment history,internal notes,reasons,global module access","player detail only","no","players + player_team_seasons + player_contributions","targeted helper tests","DONE","Scoped visibility without contributions.view"
"players overview","trainer","assigned teams","player,status,contribution status,outstanding","payment history,internal notes,reasons,global module access","player detail only","no","players + player_team_seasons + player_contributions","targeted helper tests","DONE","Only already visible scoped players are enriched"
"players overview","betreuer/gast","none unless explicit contribution view","player fields only","all contribution fields","none","no","players only","manual pending","DONE","Contribution column is omitted entirely"
"player detail","superadmin/vorstand","global","header status,soll,gezahlt,offen,faelligkeit","payment history,internal notes on contribution side","contribution detail allowed","no","players + player_contributions","targeted helper tests","DONE","Uses reduced DTO only"
"player detail","jugendleiter/trainer","scoped","header status,offen,faelligkeit","contribution reasons,history,global detail link","none","no","players + player_contributions","targeted helper tests","DONE","Trainer stays read-only"
"teams overview","superadmin/vorstand","global","team contribution summary counts and outstanding","payment details,reasons","team detail","no","teams + team_seasons + player_team_seasons + player_contributions","team summary tests","DONE","No N+1 per team"
"teams overview","jugendleiter","youth_all","team contribution summary in youth scope","other departments,payment details,reasons","team detail","no","teams + team_seasons + player_team_seasons + player_contributions","team summary tests","DONE","Scope comes from existing youth rules"
"teams overview","trainer","assigned teams","team contribution summary for own teams","foreign teams,payment details,reasons","team detail","no","teams + team_seasons + player_team_seasons + player_contributions","team summary tests","DONE","Read-only contribution summary"
"team detail","superadmin/vorstand/kassierer","scoped by existing team access","player,status,soll,gezahlt,offen,faelligkeit","payment history,internal notes,reasons","player detail and indirect contribution open via player detail","no","teams + players + player_team_seasons + player_contributions","targeted helper tests","DONE","Direct contribution link remains on player detail"
"team detail","jugendleiter/trainer","scoped","player,status,soll,gezahlt,offen,faelligkeit","payment history,internal notes,reasons","player detail only","no","teams + players + player_team_seasons + player_contributions","targeted helper tests","DONE","No mutation UI added"
"season resolution","all eligible roles","current season only","warning state when missing or ambiguous","guessed season data","n/a","no","seasons.is_current","season warning tests","DONE","No fallback guessing for contributions"
"team filters","eligible roles","existing team scope","existing team filters","contribution-specific team filters","n/a","no","teams only","not implemented","DEFERRED","Documented as deferred to avoid extra complexity"
"player filters","eligible roles with contribution status","existing player scope","existing filters plus contribution status filter","none for the compact status filter set","n/a","no","server-prefiltered visible player set plus client refinement","player filter tests","DONE","Panel filters sync through URL search params and remount the scoped server result"
