role_or_context,area,view,create,edit,deactivate,delete,permission_source,scope_source,current_state,target_state,status,notes
superadmin,settings,yes,yes,yes,yes,conditional,settings.view/edit,global,allowed,allowed,READY,Technical owner
webmaster,settings,yes,yes,yes,yes,conditional,settings.view/edit,own_profile/read_only,documented seed allowed,allowed,PARTIAL,Confirm live role and mutation enforcement
vorstand,settings,yes,unknown,no,no,no,settings.view,board_access,documented seed allowed,denied,BLOCKED,Department dependency must move first
jugendleiter,settings,possible,no,no,no,no,proposal settings.view,youth_all,live state unknown,denied,PARTIAL,Confirm live assignments
jugendkoordinator,settings,unknown,no,no,no,no,compatibility role,youth_all,noncanonical compatibility,denied,PARTIAL,No canonical seed role
kassierer,settings,yes,yes,yes,unknown,unknown,settings.view/edit,own_board_card/read_only,documented seed allowed,denied,BLOCKED,Remove assignment only after membership extraction
trainer,settings,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,settings,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,settings,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,membership_requests,yes,no,yes,no,no,membership_requests.*,global,allowed,allowed,READY,
webmaster,membership_requests,no,no,no,no,no,none,read_only,not assigned,denied,READY,
vorstand,membership_requests,yes,no,no,no,no,membership_requests.view/forward,board role,view and forward in seed,allowed,PARTIAL,Target exact edit policy to decide
jugendleiter,membership_requests,yes,no,planned,no,no,B15.5A compatibility,youth_all,dashboard only guaranteed,allowed,PARTIAL,Page guard needs same server policy
jugendkoordinator,membership_requests,yes,no,planned,no,no,B15.5A compatibility,youth_all,dashboard compatibility,allowed,PARTIAL,Canonical role decision deferred
kassierer,membership_requests,no,no,no,no,no,broad keys exist,read_only,B15.5A blocks dashboard,denied,CONFLICT,Seed keys must be removed or overridden server-side
trainer,membership_requests,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,membership_requests,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,membership_requests,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,membership_recipients,yes,yes,yes,yes,conditional,membership_requests.edit,global,allowed,allowed,READY,
webmaster,membership_recipients,no,no,no,no,no,none,read_only,not assigned,denied,READY,
vorstand,membership_recipients,planned,planned,planned,planned,no,membership permission,board role,current action mix unclear,allowed if policy requires,PARTIAL,Decide ownership in B15.16B
jugendleiter,membership_recipients,planned,planned,planned,planned,no,membership permission,youth_all,current action mix unclear,allowed if policy requires,PARTIAL,Decide ownership in B15.16B
jugendkoordinator,membership_recipients,planned,planned,planned,planned,no,membership permission,youth_all,current action mix unclear,allowed if policy requires,PARTIAL,Decide ownership in B15.16B
kassierer,membership_recipients,no,no,no,no,no,broad seed keys,read_only,potential current access,denied,CONFLICT,
trainer,membership_recipients,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,membership_recipients,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,membership_recipients,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,club_data,yes,yes,yes,yes,conditional,settings.edit,global,allowed,allowed,READY,
webmaster,club_data,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,allowed,PARTIAL,Confirm write path enforcement
vorstand,club_data,yes,no,no,no,no,settings.view,board role,read only possible,denied,PARTIAL,
jugendleiter,club_data,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
jugendkoordinator,club_data,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
kassierer,club_data,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,denied,CONFLICT,
trainer,club_data,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,club_data,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,club_data,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,contacts,yes,yes,yes,yes,conditional,settings.edit,global,allowed,allowed,READY,
webmaster,contacts,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,allowed,PARTIAL,
vorstand,contacts,yes,no,no,no,no,settings.view,board role,current read possible,denied,PARTIAL,
jugendleiter,contacts,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
jugendkoordinator,contacts,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
kassierer,contacts,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,denied,CONFLICT,
