module,event_type,source_action,server_mutation,workflow_exists,condition,recipient_rule,actor_excluded,target_route,detail_fallback,metadata,idempotency,status,test_status,notes
Training time,event_created,createTrainingTimeAction,yes,yes,successful create and postcheck,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season weekday times location fields,central event key,DONE,DONE,array create keeps existing UX
Training time,event_updated,updateTrainingTimeAction,yes,yes,relevant field changed,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season changed fields old/new times,central event key,DONE,DONE,unchanged save suppressed
Training time,event_cancelled,deleteTrainingTimeAction,yes,yes,successful delete and absence postcheck,active linked coaches of exact team season,yes,notification detail,yes,team season weekday times removal action,central event key,DONE,DONE,no deleted record route
Training time,event_cancelled,updateTrainingTimeAction,yes,yes,team season changed old side,active linked coaches of old team season,yes,notification detail,yes,old team season and schedule,central event key,DONE,DONE,separate removal message
Training time,event_created,updateTrainingTimeAction,yes,yes,team season changed new side,active linked coaches of new team season,yes,/admin/teams/[id],yes,new team season and schedule,central event key,DONE,DONE,separate create message
Training exception,event_cancelled,createTrainingExceptionAction,yes,yes,cancelled exception has a date,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season date exception type,central event key,DONE,DONE,blank draft create emits nothing
Training exception,event_updated,createTrainingExceptionAction,yes,yes,moved exception has a date,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season date overrides exception type,central event key,DONE,DONE,only existing moved type
Training exception,event_cancelled,updateTrainingExceptionAction,yes,yes,real change results in active cancellation,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season date changed fields,central event key,DONE,DONE,unchanged save suppressed
Training exception,event_updated,updateTrainingExceptionAction,yes,yes,real change results in movement or reversal,active linked coaches of exact team season,yes,/admin/teams/[id],yes,team season date override changed fields,central event key,DONE,DONE,no new exception type
Training exception,event_updated,deleteTrainingExceptionAction,yes,yes,successful delete restores regular schedule,active linked coaches of exact team season,yes,notification detail,yes,team season date reversal action,central event key,DONE,DONE,understandable reversal message
Club closure,event_cancelled,none,no,no,no admin write action found,none,yes,notification detail,yes,none,n/a,DEFERRED,DONE,read model only
Virtual training,none,virtualTraining and eventLoader,no,yes,read or materialization,none,n/a,n/a,n/a,none,n/a,NOT_APPLICABLE,DONE,never emits notifications
